City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Jingcheng,CN,32.0142,120.2625,71.01,77,100,9.93,overcast clouds
86,Atuona,PF,-9.8,-139.0333,79.14,67,32,20.33,scattered clouds
87,Iqaluit,CA,63.7506,-68.5145,29.7,100,100,21.85,light snow
88,Upernavik,GL,72.7868,-56.1549,12.43,91,27,5.41,scattered clouds
89,Kilindoni,TZ,-7.9139,39.6668,80.26,72,0,17.98,clear sky
90,Jamestown,US,42.097,-79.2353,58.05,49,88,1.01,overcast clouds
91,Hilo,US,19.7297,-155.09,77.29,81,75,9.22,broken clouds
92,Quatre Cocos,MU,-20.2078,57.7625,77.09,79,86,10.25,overcast clouds
93,Haines Junction,CA,60.7522,-137.5108,37.11,85,100,3.47,overcast clouds
94,Itarema,BR,-2.9248,-39.9167,75.81,85,97,3.96,overcast clouds
95,Port Elizabeth,ZA,-33.918,25.5701,63.32,78,0,23.02,clear sky
96,Moron,AR,-34.6534,-58.6198,58.75,85,7,5.53,clear sky
97,Mataram,ID,-8.5833,116.1167,90.41,70,100,2.82,overcast clouds
98,Dikson,RU,73.5069,80.5464,28.81,85,100,20.89,light snow
99,Touros,BR,-5.1989,-35.4608,76.5,88,82,7.29,broken clouds
100,Guerrero Negro,MX,27.9769,-114.0611,60.08,78,1,18.5,clear sky
101,Dhidhdhoo,MV,6.8833,73.1,84.29,76,100,15.75,overcast clouds
102,Luau,AO,-10.7073,22.2247,61.66,69,10,4.32,clear sky
103,Seminole,US,28.7086,-81.2081,68.41,76,0,6.91,clear sky
104,Candolim,IN,15.5181,73.7626,86.0,74,100,9.22,moderate rain
105,Sovetskiy,RU,61.3614,63.5842,57.79,54,100,5.93,overcast clouds
106,Coihaique,CL,-45.5752,-72.0662,34.41,93,0,2.3,clear sky
107,Diu,IN,20.7141,70.9822,85.93,61,100,10.49,overcast clouds
108,Mahibadhoo,MV,3.7833,72.9667,84.52,77,100,16.2,overcast clouds
109,Albanel,CA,48.8832,-72.4487,53.74,46,87,9.22,overcast clouds
110,Cidreira,BR,-30.1811,-50.2056,63.54,95,100,3.09,light rain
111,Kasongo-Lunda,CD,-6.4667,16.8167,70.61,95,72,1.32,light rain
112,Yellowknife,CA,62.456,-114.3525,35.56,75,100,10.36,light snow
113,Mizunami,JP,35.3667,137.25,70.48,56,100,3.94,moderate rain
114,Allapalli,IN,19.4167,80.0667,88.07,55,100,5.41,overcast clouds
115,Castro,BR,-24.7911,-50.0119,58.53,96,100,3.33,overcast clouds
116,Kruisfontein,ZA,-34.0033,24.7314,58.77,70,1,16.98,clear sky
117,Taltal,CL,-25.4,-70.4833,59.52,84,38,2.42,scattered clouds
118,San Cristobal,VE,7.7669,-72.225,68.18,99,100,3.33,overcast clouds
119,Hayden,US,47.766,-116.7866,51.19,58,0,4.61,clear sky
120,Teguldet,RU,57.3064,88.1667,49.3,30,2,6.69,clear sky
121,Port Lincoln,AU,-34.7333,135.8667,63.01,59,0,9.13,clear sky
122,Kodiak,US,57.79,-152.4072,47.71,34,0,21.85,clear sky
123,Torbay,CA,47.6666,-52.7314,44.28,57,20,20.71,few clouds
124,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,86,100,15.17,overcast clouds
125,Vila Do Maio,CV,15.1333,-23.2167,72.39,85,7,16.42,clear sky
126,Tuy Hoa,VN,13.0833,109.3,88.39,63,23,3.71,few clouds
127,Alofi,NU,-19.0595,-169.9187,75.09,88,100,10.36,overcast clouds
128,Turukhansk,RU,65.8167,87.9833,34.39,100,100,4.74,overcast clouds
129,Nuqui,CO,5.7125,-77.2708,76.91,93,100,4.07,moderate rain
130,Vilela,PT,41.2251,-7.6034,55.04,38,25,2.57,scattered clouds
131,Georgetown,MY,5.4112,100.3354,85.93,54,20,2.3,few clouds
132,Palmer,US,42.1584,-72.3287,51.4,46,0,6.91,clear sky
133,Bethel,US,41.3712,-73.414,57.29,23,0,6.91,clear sky
134,Luderitz,NA,-26.6481,15.1594,56.91,60,34,9.22,scattered clouds
135,Khatanga,RU,71.9667,102.5,23.22,84,12,14.09,few clouds
136,Ostrovnoy,RU,68.0531,39.5131,39.02,84,69,16.64,broken clouds
137,Puyo,EC,-1.4667,-77.9833,65.55,96,26,2.77,light rain
138,Olkhovka,RU,53.2115,60.6069,47.25,85,100,14.72,overcast clouds
139,San Borja,BO,-14.8167,-66.85,70.83,98,79,2.21,broken clouds
140,Ashqelon,IL,31.6693,34.5715,58.89,62,72,3.89,broken clouds
141,Chuy,UY,-33.6971,-53.4616,58.87,94,100,7.63,overcast clouds
142,Carnarvon,AU,-24.8667,113.6333,84.27,32,99,10.36,overcast clouds
