City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Sao Filipe,CV,72.19,few clouds,14.8961,-24.4956,Hotel Xaguate
479,Kelso,US,55.36,clear sky,46.1468,-122.9084,GuestHouse Kelso Longview
480,Songjianghe,CN,50.58,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
481,Bilma,NE,85.95,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
483,Wlingi,ID,85.66,broken clouds,-8.0776,112.3311,SPOT ON 1847 Hotel Maya
484,Nishihara,JP,80.26,light intensity drizzle,26.1842,127.7558,Minshuku Agaihama
485,Abu Kamal,SY,68.65,clear sky,34.4506,40.9171,البوكمال
486,Vao,NC,73.56,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
487,Adra,ES,65.37,clear sky,36.7496,-3.0206,Hostal Zapata
488,Margate,GB,52.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
489,Kodinsk,RU,48.92,overcast clouds,58.6881,99.1844,
490,Barcelona,ES,64.9,clear sky,41.3888,2.159,Axel Hotel Barcelona
491,Aneho,TG,80.8,broken clouds,6.2333,1.6,Hotel La Linette
495,Inongo,CD,71.55,light rain,-1.95,18.2667,Hotel Du Lac
496,Lufilufi,WS,89.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
497,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
499,San Rafael,AR,56.93,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
500,San Jeronimo,PE,49.96,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
501,Merrill,US,69.75,scattered clouds,45.1805,-89.6835,Prairie Motel
502,Samma,JO,51.24,scattered clouds,32.571,35.6903,وصفي الشوالي ابو مراد
503,Rafaela,AR,56.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
504,Gilgit,PK,74.5,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
505,The Valley,AI,81.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
509,Bambui,BR,59.29,broken clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
510,Nichinan,JP,67.68,moderate rain,31.6,131.3667,Guest House Aki
511,Kainantu,PG,79.65,broken clouds,-6.2887,145.8655,Sylvester buku
512,Hobyo,SO,81.91,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
513,Kibala,TD,84.15,thunderstorm,9.1104,18.3463,hotel safari
514,Gohpur,IN,76.19,overcast clouds,26.8833,93.6333,Murchana Music
515,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
517,Sawtell,AU,66.22,light intensity shower rain,-30.3833,153.1,The Bungalow Sawtell
518,Tessalit,ML,80.02,clear sky,20.1986,1.0114,
519,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
521,Nakambala,ZM,60.04,clear sky,-15.8324,27.7799,Staff Area
523,Venado Tuerto,AR,58.77,clear sky,-33.7456,-61.9688,La Bianca.
524,Nhulunbuy,AU,79.41,shower rain,-12.2333,136.7667,East Arnhem Real Estate
525,Lachute,CA,61.45,broken clouds,45.6501,-74.3325,Hotel Laurentien
526,Ulverstone,AU,60.39,overcast clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
528,Waipawa,NZ,50.92,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
529,Kambove,CD,56.91,clear sky,-10.8764,26.5969,Couvant des soeurs catholiques
530,Ndele,CF,77.5,overcast clouds,8.4109,20.6473,
531,Cururupu,BR,72.9,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
532,Les Cayes,HT,75.96,clear sky,18.2,-73.75,Villa Orphee
535,Muravlenko,RU,49.53,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
536,Cockburn Town,TC,79.23,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
537,Luwuk,ID,82.83,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
538,Chibombo,ZM,58.86,clear sky,-14.6569,28.0706,Chibombo District Council Guest House
539,Bay City,US,75.31,overcast clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
540,Muskegon,US,80.46,broken clouds,43.3,-86.1334,Timberline Estates
541,Polovinnoye,RU,54.32,overcast clouds,54.7914,65.9864,
542,Great Yarmouth,GB,56.01,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
543,Bafq,IR,72.97,clear sky,31.6128,55.4107,Alamdar Hotel
544,Nioro,GM,76.55,few clouds,13.35,-15.75,
545,Jacmel,HT,80.44,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
546,Joshimath,IN,71.71,clear sky,30.5667,79.5667,Shivalik Camps & Resort
547,Tisovec,SK,54.23,overcast clouds,48.6774,19.9436,Cottage Elisabeth
551,Khunti,IN,82.51,overcast clouds,23.0833,85.2833,Mohan sharma house
552,Constitucion,CL,56.5,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
553,Nemuro,JP,48.16,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
554,Mtambile,TZ,79.68,clear sky,-5.3833,39.7,
555,Dingle,PH,88.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
556,Kosonsoy,UZ,63.16,broken clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
557,Mahajanga,MG,69.82,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
558,La Asuncion,VE,77.81,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
559,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
560,Waunakee,US,78.58,scattered clouds,43.1919,-89.4557,Hometown Inn & Suites
561,Nenagh,IE,49.55,broken clouds,52.8619,-8.1967,Abbey Court
562,Mafinga,TZ,63.16,clear sky,-7.25,35.0667,
563,Bam,IR,81.21,clear sky,29.106,58.357,Bam Tourist Hotel
564,Chumphon,TH,83.75,overcast clouds,10.3333,98.8333,สกาน จ๋า.
565,Noyabrsk,RU,52.32,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
566,Tiznit,MA,71.53,broken clouds,29.5833,-9.5,
567,Tucuman,AR,68.0,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
568,Tigil,RU,52.2,clear sky,57.8,158.6667,Tigil'
569,Beitbridge,ZW,61.63,clear sky,-22.2167,30.0,Beitbridge Express Hotel
570,Kashi,CN,83.41,few clouds,39.4547,75.9797,帕米尔青年旅舍
571,Meulaboh,ID,83.75,overcast clouds,4.1363,96.1285,Kost Pria
572,Imbituba,BR,68.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
573,Pecos,US,81.43,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
576,Kedrovyy,RU,46.87,clear sky,56.1667,91.8167,
577,Agadez,NE,84.04,broken clouds,19.75,10.25,
578,Akcaabat,TR,51.67,clear sky,41.0212,39.5715,AKOF APART
579,Bail Hongal,IN,78.04,overcast clouds,15.8167,74.8667,Sangam residency (Lodge)
580,Kathu,TH,86.76,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
581,Longford,IE,48.33,broken clouds,53.7333,-7.8,Westhouse Cafe
582,Kisangani,CD,70.47,overcast clouds,0.5167,25.2,Grand Ramela Hotel
583,Svetlaya,RU,55.72,overcast clouds,46.5389,138.3297,
584,Hamilton,US,74.98,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
586,San Bartolome De Tirajana,ES,63.07,few clouds,27.9248,-15.5733,Las Tirajanas
587,Shunyi,CN,67.95,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
588,Xichang,CN,69.62,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
589,Camana,PE,65.08,clear sky,-16.6228,-72.7111,Hostal Morales
590,Hokitika,NZ,58.75,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
591,Honiara,SB,84.87,moderate rain,-9.4333,159.95,Heritage Park Hotel
592,Hutchinson,US,82.35,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
593,Gisborne,NZ,55.49,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
594,Amahai,ID,83.77,broken clouds,-3.3333,128.9167,HOTEL ISABELA
595,Feijo,BR,72.7,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
596,Rahuri,IN,89.69,broken clouds,19.3833,74.65,P.W.D RESTHOUSE
597,Ukiah,US,51.37,few clouds,39.1502,-123.2078,Hampton Inn Ukiah
598,Berdavan,AM,47.05,overcast clouds,41.205,44.9997,Holiday in Berdavan
599,George Town,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
600,Waddan,LY,62.83,few clouds,29.1614,16.139,محل الشريف محمد العايب
602,Bentiu,SS,82.2,overcast clouds,9.2333,29.8333,Mandela hôtel
604,Puerto Leguizamo,CO,71.92,broken clouds,-0.1934,-74.7819,la casona de juancho
605,Libertador General San Martin,AR,56.97,clear sky,-23.8064,-64.7876,Posada del Sol
606,Mercedes,AR,53.78,clear sky,-34.6515,-59.4307,Posada del Inti Centro
607,Wallaceburg,CA,66.22,few clouds,42.593,-82.3885,Wallaceburg Inn
608,Blue Springs,US,79.75,clear sky,39.0169,-94.2816,Courtyard by Marriott Kansas City East/Blue Springs
609,Marzuq,YE,78.42,clear sky,14.4,46.4667,
610,Gazli,UZ,72.19,broken clouds,40.1333,63.45,
612,Maarianhamina,AX,46.26,few clouds,60.0973,19.9348,Park Alandia Hotel
613,Winslow,US,68.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
614,Uribia,CO,81.55,overcast clouds,11.7139,-72.266,Hotel Uribia
615,Lamar,US,78.71,clear sky,33.6668,-95.5836,Kings Inn Paris TX
616,Ojinaga,MX,86.95,clear sky,29.5667,-104.4167,Suites Las Palmas
617,Sakakah,SA,67.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
618,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
619,Toccoa,US,65.77,clear sky,34.5773,-83.3324,Quality Inn
620,Uarini,BR,73.08,scattered clouds,-2.99,-65.1083,
621,Danville,US,55.96,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
623,Victor Harbor,AU,64.69,scattered clouds,-35.5667,138.6167,McCracken Country Club
